測站,日期,小時,PM2.5_Value,PM25_Lag_1h,PM25_Lag_2h,PM25_Lag_24h
中山站,2018/11/2,0,7,6,9,12
中山站,2018/11/2,1,9,7,6,13
中山站,2018/11/2,2,10,9,7,14
中山站,2018/11/2,3,11,10,9,12
中山站,2018/11/2,4,4,11,10,16
中山站,2018/11/2,5,3,4,11,21
中山站,2018/11/2,6,1,3,4,26
中山站,2018/11/2,7,8,1,3,26
中山站,2018/11/2,8,11,8,1,21
中山站,2018/11/2,9,10,11,8,22
中山站,2018/11/2,10,3,10,11,16
中山站,2018/11/2,11,7,3,10,17
中山站,2018/11/2,12,8,7,3,9
中山站,2018/11/2,13,11,8,7,15
中山站,2018/11/2,14,4,11,8,14
中山站,2018/11/2,15,6,4,11,23
中山站,2018/11/2,16,9,6,4,13
中山站,2018/11/2,17,9,9,6,15
中山站,2018/11/2,18,13,9,9,11
中山站,2018/11/2,19,9,13,9,18
中山站,2018/11/2,20,13,9,13,13
中山站,2018/11/2,21,7,13,9,7
中山站,2018/11/2,22,7,7,13,9
中山站,2018/11/2,23,1,7,7,6
中山站,2018/11/3,0,1,1,7,7
中山站,2018/11/3,1,2,1,1,9
中山站,2018/11/3,2,2,2,1,10
中山站,2018/11/3,3,3,2,2,11
中山站,2018/11/3,4,1,3,2,4
中山站,2018/11/3,5,5,1,3,3
中山站,2018/11/3,6,1,5,1,1
中山站,2018/11/3,7,1,1,5,8
中山站,2018/11/3,8,5,1,1,11
中山站,2018/11/3,9,8,5,1,10
中山站,2018/11/3,10,7,8,5,3
中山站,2018/11/3,11,7,7,8,7
中山站,2018/11/3,12,8,7,7,8
中山站,2018/11/3,13,21,8,7,11
中山站,2018/11/3,14,14,21,8,4
中山站,2018/11/3,15,15,14,21,6
中山站,2018/11/3,16,11,15,14,9
中山站,2018/11/3,17,15,11,15,9
中山站,2018/11/3,18,15,15,11,13
中山站,2018/11/3,19,15,15,15,9
中山站,2018/11/3,20,11,15,15,13
中山站,2018/11/3,21,14,11,15,7
